Month,DATE,MILLER NAME,AREA,BRAND,BUYER NAME,NO OF DAYS,NO OF DAY REC,BILL NO,QTLS,Rate,Amount,L.H.,C.C,,TDS,Shortage,SELLER,Diff. in,Net Amt.,chq am,Ch/DD No.,CHQ DT,bank,PLACE,   BUYER NAME,? , ,BUYER NAME 

MAY-2026,2026-05-02,BHAGWATI RICE AND AGRO INDUSTRIES,TRICHY, K.K,,"=IF(U2>0,""Cleared"", (TODAY()-A2&""  DAYS PENDING""))","=IF(U2>0,W2-A2 & "" days"", ""PAYMENT NOT RECD"")",131,220.2,7350,=J2*K2,=360*220.2,=L2*4%,,,,,=T2-U2,=J2*K2-M2-N2-Q2+O2+P2,1470000,RTGS,2026-05-25,,GADCHIROLLI,SS TRADERS,,,
MAY-2026,2026-05-02,BHAGWATI RICE AND AGRO INDUSTRIES,MGB, K.K,,"=IF(U3>0,""Cleared"", (TODAY()-A3&""  DAYS PENDING""))","=IF(U3>0,W3-A3 & "" days"", ""PAYMENT NOT RECD"")",127,350.1,7700,=J3*K3,=390*390,=L3*4%,,,,,=T3-U3,=J3*K3-M3-N3-Q3+O3+P3,=1000000+1448841,RTGS,2026-05-25,,GADCHIROLLI,POPULAR TRADERS,,,
MAY-2026,2026-05-02,SAI TEJA PARBOILED RICE MILLS (P) LTD,6TH,HMT ST,,"=IF(U4>0,""Cleared"", (TODAY()-A4&""  DAYS PENDING""))","=IF(U4>0,W4-A4 & "" days"", ""PAYMENT NOT RECD"")",85,26,=5290+210,=J4*K4,=210*26,=L4*3%,,,,,=T4-U4,=J4*K4-M4-N4-Q4+O4+P4,133150,RTGS,2026-06-08,,MIRYALGUDA,NANJUNDESHWARA AGENCIES,,,
MAY-2026,2026-05-02,SAI TEJA PARBOILED RICE MILLS (P) LTD,6TH,HMT ST,,"=IF(U5>0,""Cleared"", (TODAY()-A5&""  DAYS PENDING""))","=IF(U5>0,W5-A5 & "" days"", ""PAYMENT NOT RECD"")",86,67.6,=5490+210,=J5*K5,=210*67.6,=L5*4%,,,,,=T5-U5,=J5*K5-M5-N5-Q5+O5+P5,349000,rtgs,2026-05-14,,MIRYALGUDA,JAI HANUMAN CORPORATION,,,
MAY-2026,2026-05-02,SAI TEJA PARBOILED RICE MILLS (P) LTD,4TH,HMT ST,,"=IF(U6>0,""Cleared"", (TODAY()-A6&""  DAYS PENDING""))","=IF(U6>0,W6-A6 & "" days"", ""PAYMENT NOT RECD"")",87,26,=5290+210,=J6*K6,=210*26,=L6*4%,,,,,=T6-U6,=J6*K6-M6-N6-Q6+O6+P6,131820,RTGS,2026-05-16,,MIRYALGUDA,NATIONAL TRADING CO,,,
MAY-2026,2026-05-02,SAI TEJA PARBOILED RICE MILLS (P) LTD,5TH,HMT ST,,"=IF(U7>0,""Cleared"", (TODAY()-A7&""  DAYS PENDING""))","=IF(U7>0,W7-A7 & "" days"", ""PAYMENT NOT RECD"")",88,26,=5290+210,=J7*K7,=210*26,=L7*4%,,,,,=T7-U7,=J7*K7-M7-N7-Q7+O7+P7,131700,816725,2026-05-20,,MIRYALGUDA,N.MUNISWAMYY REDDY,,,
MAY-2026,2026-05-02,SAI TEJA PARBOILED RICE MILLS (P) LTD,6TH,HMT ST,,"=IF(U8>0,""Cleared"", (TODAY()-A8&""  DAYS PENDING""))","=IF(U8>0,W8-A8 & "" days"", ""PAYMENT NOT RECD"")",89,15.6,=5290+210,=J8*K8,=210*15.6,=L8*4%,,,,,=T8-U8,=J8*K8-M8-N8-Q8+O8+P8,79000,6953,2026-05-18,,MIRYALGUDA,ANNAPURNESHWARI SALES CORPORATION,,,
MAY-2026,2026-05-02,SAI TEJA PARBOILED RICE MILLS (P) LTD,4TH,HMT ST,,"=IF(U9>0,""Cleared"", (TODAY()-A9&""  DAYS PENDING""))","=IF(U9>0,W9-A9 & "" days"", ""PAYMENT NOT RECD"")",90,20.8,=5290+210,=J9*K9,=210*20.8,=L9*3%,,,,,=T9-U9,=J9*K9-M9-N9-Q9+O9+P9,106550,4261,2026-06-06,,MIRYALGUDA,CATER PURE ESSENTIALS PVT LTD,,,
MAY-2026,2026-05-02,SAI TEJA PARBOILED RICE MILLS (P) LTD,6TH,HMT ST,,"=IF(U10>0,""Cleared"", (TODAY()-A10&""  DAYS PENDING""))","=IF(U10>0,W10-A10 & "" days"", ""PAYMENT NOT RECD"")",91,26,=5290+210,=J10*K10,=210*26,=L10*4%,,,,,=T10-U10,=J10*K10-M10-N10-Q10+O10+P10,131800,RTGS,2026-05-18,,MIRYALGUDA,ESHWARI COMMERICALS,,,
